Field,Code,Description
Work Package,WP1,Work package 1: Demand analysis and advisory board
Work Package,WP2,Work package 2: Curricula and course development 
Work Package,WP3,Work package 3: Training delivery and learning analytics feedback 
Work Package,WP4,Work package 4: Dissemination and community building
Work Package,WP5,Work package: Exploitation 
Organisation,ODI,Open Data Institute
Organisation,OU,Open University
Organisation,JSI,Josef Stefan Institute
Organisation,SOTON,University of Southampton
Organisation,ideXlab,ideXlab
Organisation,TU/e,Eindhoven University of Technology